127.0.0.1 - - [11/Dec/2015:18:51:43 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:51:55 -0200] "GET /Hamburgueria/assets/imagem/ofertadodia3.png HTTP/1.1" 200 19693
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:51:56 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:51:56 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:02 -0200] "GET /Hamburgueria/resources/funcionario/gerenciaAdmin.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:02 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449867115389 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:02 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115390 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:02 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115391 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:04 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:52:04 -0200] "GET /Hamburgueria/assets/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/resources/funcionario/cadastroFuncionario.html HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115392 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js?_=1449867115393 HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/resources/funcionario/css/funcionario.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/assets/js/cidade.js?_=1449867115394 HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115395 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/resources/funcionario/js/cadastroFuncionario.js?_=1449867115396 HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:53:06 -0200] "GET /Hamburgueria/rest/cidadesRest/buscarPorNome HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:14 -0200] "POST /Hamburgueria/rest/funcionarioRest/addFuncionario HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:24 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449867115397 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:24 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 4022
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:24 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115398 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:24 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115399 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:31 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115400 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionarioPeloId/21 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js?_=1449867115401 HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/assets/js/cidade.js?_=1449867115402 HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115403 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/resources/funcionario/js/cadastroFuncionario.js?_=1449867115404 HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:54:32 -0200] "GET /Hamburgueria/rest/cidadesRest/buscarPorNome HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:35 -0200] "PUT /Hamburgueria/rest/funcionarioRest/editarFuncionario HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:35 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449867115405 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:35 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:35 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115406 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:35 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115407 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionarioPeloId/21 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115408 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js?_=1449867115409 HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/assets/js/cidade.js?_=1449867115410 HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115411 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/resources/funcionario/js/cadastroFuncionario.js?_=1449867115412 HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:55:45 -0200] "GET /Hamburgueria/rest/cidadesRest/buscarPorNome HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:35 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449867115413 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:36 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:36 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867115414 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:36 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867115415 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:38 -0200] "DELETE /Hamburgueria/rest/funcionarioRest/deletarFuncionario/21 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:56:39 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:39 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:41 -0200] "GET /Hamburgueria/assets/css/bootstrap.css.map HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:42 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449867459651 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:42 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449867459652 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:42 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449867459653 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:42 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [11/Dec/2015:18:57:42 -0200] "GET /Hamburgueria/assets/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
